This is junk. Please ignore,Why is everyone not insanely suspicious about this #aliensexist thing? Im not saying they dont. Im just saying u.s intelligence is very skilled at directing attention. The gov is ramping up surveillance &amp; further robbing people of online privacy.,-2.0,2020-04-28
This is junk. Please ignore,"From voting for Kavanaugh on the Supreme Court to the GOP tax scam, Susan Collins is out of touch with Maine. Speaker of the House Sara Gideon is the Democrat running to replace her!   RETWEET if you support Gideon as she runs to beat Collins and turn the U.S. Senate Blue! https://t.co/weEtypLPrB",2.0,2020-04-28
This is junk. Please ignore,"\"I did not choose this life!\"  THE KILLER ANGEL An adventure into the end of civilization - Her story, her words  https://t.co/3rj28a1wPf  #Apocalypse #Horror #Thriller #NickiRedstone #Mutant #Dystopian #drama #YA #SFF #ReadersFavorite https://t.co/SsksJLgGou",2.0,2020-04-28
